City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Thompson,55.74,-97.86,-9.4,76,90,6.93,CA,1608678085
Harsūd,22.1,76.73,56.55,39,88,4.03,IN,1608678085
Bissau,11.86,-15.6,73.4,64,97,5.68,GW,1608678045
Kasangulu,-4.59,15.17,78.8,83,20,4.7,CD,1608678085
Mataura,-46.19,168.86,60.01,93,100,3.0,NZ,1608678086
Rikitea,-23.12,-134.97,77.56,70,13,10.36,PF,1608677853
Saint-Philippe,-21.36,55.77,77.0,78,0,4.7,RE,1608678086
Brae,60.4,-1.35,42.8,81,84,10.29,GB,1608678086
Klaksvík,62.23,-6.59,35.6,75,92,8.05,FO,1608678086
Punta Arenas,-53.15,-70.92,51.8,53,75,13.87,CL,1608677806
Qiongshan,20.01,110.35,66.2,82,75,11.18,CN,1608678086
Albany,42.6,-73.97,37.0,80,87,9.31,US,1608678086
Hofn,64.25,-15.21,25.07,80,36,3.51,IS,1608678086
Hobart,-42.88,147.33,64.99,45,20,17.22,AU,1608677945
Jamestown,42.1,-79.24,33.01,86,90,14.99,US,1608677966
Esperance,-33.87,121.9,55.4,82,0,9.17,AU,1608678086
São Filipe,14.9,-24.5,73.51,72,4,8.52,CV,1608678087
Cockburn Town,21.46,-71.14,78.8,74,40,5.82,TC,1608678087
Mahibadhoo,3.78,72.97,81.55,80,89,17.2,MV,1608678087
Kiryat Gat,31.61,34.76,57.0,100,15,2.13,IL,1608678087
Andros Town,24.7,-77.77,73.4,56,40,10.29,BS,1608678025
Santa Luzia,-19.77,-43.85,75.2,83,75,5.82,BR,1608678087
Yar-Sale,66.83,70.83,-32.21,83,0,4.76,RU,1608678087
Vaini,-21.2,-175.2,75.2,94,75,5.82,TO,1608678087
Madingou,-4.15,13.55,73.49,93,100,2.48,CG,1608678087
Cabo San Lucas,22.89,-109.91,75.0,73,75,8.05,MX,1608678087
Atuona,-9.8,-139.03,79.02,77,23,16.06,PF,1608678088
Saint Paul Harbor,57.79,-152.41,41.0,86,1,11.41,US,1608678088
Chokurdakh,70.63,147.92,-17.32,89,100,5.73,RU,1608678088
Hamilton,39.18,-84.53,41.0,60,1,5.82,US,1608677946
Puerto Baquerizo Moreno,-0.9,-89.6,77.0,83,40,13.87,EC,1608678088
Busselton,-33.65,115.33,64.99,70,0,8.01,AU,1608678088
Lebu,-37.62,-73.65,58.33,81,0,21.79,CL,1608678088
Ushuaia,-54.8,-68.3,50.0,61,75,28.86,AR,1608677978
East London,-33.02,27.91,69.55,78,0,7.67,ZA,1608678089
Rabak,13.18,32.74,76.95,24,1,13.76,SD,1608678089
Katsuura,35.13,140.3,37.4,74,20,4.7,JP,1608678089
Hong Kong,22.29,114.16,64.0,82,83,7.7,HK,1608677833
Eyl,7.98,49.82,74.25,69,17,19.62,SO,1608678090
Mount Gambier,-37.83,140.77,60.8,72,75,9.17,AU,1608678090
Itoman,26.12,127.67,68.0,68,20,9.17,JP,1608678070
Lüderitz,-26.65,15.16,62.6,93,8,4.7,NA,1608678090
Barrow,71.29,-156.79,-13.0,69,40,28.86,US,1608678090
Bluff,-46.6,168.33,60.01,93,100,3.0,NZ,1608678090
Cape Town,-33.93,18.42,69.01,82,20,11.41,ZA,1608677898
Chui,-33.7,-53.46,59.76,77,0,5.73,UY,1608678091
Kobayashi,31.98,130.98,35.6,78,20,3.36,JP,1608678091
Padang,-0.95,100.35,77.72,80,77,3.38,ID,1608678091
Port Alfred,-33.59,26.89,66.99,96,0,8.79,ZA,1608678091
Constitución,-35.33,-72.42,66.38,56,0,17.16,CL,1608678091
Tual,-5.67,132.75,83.93,75,97,15.7,ID,1608678050
Mahébourg,-20.41,57.7,77.0,83,40,14.99,MU,1608678064
Castro,-24.79,-50.01,64.2,95,57,9.51,BR,1608677971
Tasiilaq,65.61,-37.64,19.4,57,96,4.7,GL,1608678092
Torbay,47.67,-52.73,44.01,81,75,29.97,CA,1608677818
Saint Anthony,45.02,-93.22,42.01,48,1,13.87,US,1608678092
Stokmarknes,68.56,14.91,39.0,68,78,8.01,NO,1608678092
Yabrūd,33.97,36.66,42.8,87,20,6.93,SY,1608678093
Jardim,-21.48,-56.14,82.02,66,40,4.97,BR,1608678093
Olafsvik,64.89,-23.71,33.69,83,81,15.82,IS,1608678093
Nouadhibou,20.93,-17.03,68.29,52,0,11.41,MR,1608678093
Bermejo,-32.88,-68.8,95.0,19,20,9.17,AR,1608678093
Mahon,39.89,4.27,57.2,82,0,8.05,ES,1608678093
San Miguel de Cozumel,20.51,-86.95,78.8,74,40,12.75,MX,1608678063
Carnarvon,-24.87,113.63,75.2,100,0,5.82,AU,1608678093
Mar del Plata,-38.0,-57.56,73.4,73,40,4.7,AR,1608678094
Sabha,27.04,14.43,58.03,57,65,16.4,LY,1608678094
Tuktoyaktuk,69.45,-133.04,-23.8,74,20,13.87,CA,1608678094
Great Yarmouth,52.61,1.73,48.0,93,98,5.82,GB,1608677923
Bend,44.06,-121.32,39.2,48,1,13.87,US,1608678031
Ko Samui,9.54,99.94,80.11,72,95,13.58,TH,1608678094
Hithadhoo,-0.6,73.08,82.26,75,100,18.01,MV,1608678054
Aarschot,50.99,4.84,53.01,100,100,1.12,BE,1608678094
Port Lincoln,-34.73,135.87,60.01,61,50,6.31,AU,1608678094
Camacha,33.08,-16.33,59.0,82,20,2.24,PT,1608678094
Panguna,-6.32,155.48,81.14,71,89,1.72,PG,1608678094
Ruston,32.52,-92.64,62.6,48,1,3.36,US,1608678094
Porto Walter,-8.27,-72.74,77.92,77,96,2.68,BR,1608678095
Arraial do Cabo,-22.97,-42.03,75.36,92,94,21.5,BR,1608678095
Airai,-8.93,125.41,62.56,100,100,2.48,TL,1608678095
Nikolskoye,59.7,30.79,33.01,97,75,4.47,RU,1608678095
Vylkove,45.4,29.59,33.21,90,1,4.72,UA,1608678095
Avarua,-21.21,-159.78,82.4,65,92,5.82,CK,1608677965
Bengkulu,-3.8,102.27,75.58,80,84,3.18,ID,1608678095
Pisco,-13.7,-76.22,71.6,78,0,21.92,PE,1608678095
Half Moon Bay,37.46,-122.43,59.0,71,1,12.75,US,1608678095
Dikson,73.51,80.55,-29.88,82,12,11.45,RU,1608678096
Pirovskoye,57.63,92.27,-6.11,90,100,8.12,RU,1608678096
Faya,18.39,42.45,57.2,76,0,0.72,SA,1608678096
La Crosse,43.8,-91.24,37.4,59,1,11.41,US,1608677844
Port Elizabeth,-33.92,25.57,69.8,94,0,2.24,ZA,1608677963
Bubaque,11.28,-15.83,80.64,62,98,10.0,GW,1608678096
Ionia,42.99,-85.07,36.0,74,90,4.7,US,1608678097
Yellowknife,62.46,-114.35,-16.6,75,90,8.05,CA,1608678097
Sarakhs,36.54,61.16,37.24,78,47,4.25,IR,1608678097
Saint George,37.1,-113.58,64.0,18,1,18.34,US,1608677865
Abhā,18.22,42.51,57.2,76,0,1.05,SA,1608678098
Tías,28.96,-13.64,60.8,63,0,1.12,ES,1608678098
Baiquan,47.58,126.08,6.84,95,100,8.25,CN,1608678098
Hasaki,35.73,140.83,30.2,86,20,1.12,JP,1608678080
Skjervøy,70.03,20.97,33.08,88,37,17.54,NO,1608678099
Lindenhurst,40.69,-73.37,44.01,52,90,6.93,US,1608677801
Penzance,50.12,-5.54,53.6,100,55,16.11,GB,1608678099
Opuwo,-18.06,13.84,66.09,51,1,6.11,NA,1608678099
Ambulu,-8.35,113.61,77.81,82,99,2.93,ID,1608678099
Bambous Virieux,-20.34,57.76,78.01,83,40,14.99,MU,1608678099
Coyhaique,-45.58,-72.07,59.0,47,75,8.05,CL,1608678099
Ostrovnoy,68.05,39.51,31.98,97,100,3.02,RU,1608678099
Ponta do Sol,32.67,-17.1,62.6,63,75,4.7,PT,1608678099
Maragogi,-9.01,-35.22,77.41,79,83,9.78,BR,1608677868
Aksarka,66.56,67.8,-24.72,86,100,8.34,RU,1608678099
Marechal Floriano,-20.41,-40.68,78.8,83,75,6.93,BR,1608677991
Kaitangata,-46.28,169.85,60.01,98,100,5.21,NZ,1608678096
Fort Nelson,58.81,-122.7,-11.2,69,20,1.68,CA,1608678004
Ambovombe,-25.17,46.08,72.25,88,0,7.25,MG,1608678100
Yulara,-25.24,130.99,69.8,37,94,12.75,AU,1608678100
Vega de Alatorre,20.03,-96.63,73.81,83,65,7.27,MX,1608678100
Pevek,69.7,170.31,-10.97,87,48,11.27,RU,1608678101
Tuatapere,-46.13,167.68,60.01,93,100,3.0,NZ,1608678101
Walker,30.73,-95.57,69.8,43,1,6.93,US,1608678101
Grand Gaube,-20.01,57.66,78.01,79,8,10.0,MU,1608678101
Bandarbeyla,9.49,50.81,74.16,73,23,20.47,SO,1608678101
Pangody,65.85,74.49,-35.54,83,0,2.51,RU,1608678101
Butaritari,3.07,172.79,80.87,81,59,18.99,KI,1608678101
Khatanga,71.97,102.5,-29.69,82,81,11.79,RU,1608678101
Richards Bay,-28.78,32.04,75.9,93,100,10.38,ZA,1608678102
Norman Wells,65.28,-126.83,-16.6,75,75,6.93,CA,1608678102
Necochea,-38.55,-58.74,81.0,42,0,19.66,AR,1608678102
Goderich,43.75,-81.72,33.8,69,100,11.41,CA,1608678102
Saldanha,-33.01,17.94,64.4,88,1,9.17,ZA,1608678102
Karratha,-20.74,116.85,85.35,46,85,9.28,AU,1608678102
Belmonte,-15.86,-38.88,78.8,78,20,10.29,BR,1608678103
Nanortalik,60.14,-45.24,31.3,95,100,13.6,GL,1608678103
Flinders,-34.58,150.86,73.0,56,0,7.0,AU,1608678103
Kangaatsiaq,68.31,-53.46,19.71,96,100,18.16,GL,1608678103
