City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.92,55.4,58,75,23.04,CL,1609359097
Bengkulu,-3.8,102.27,75.54,85,100,3.91,ID,1609359097
Ushuaia,-54.8,-68.3,53.6,50,75,3.36,AR,1609359097
Roald,62.58,6.13,36.0,64,0,4.7,NO,1609359097
Nānākuli,21.39,-158.15,80.01,61,1,3.36,US,1609359097
Voyvozh,62.89,54.96,-11.63,90,100,5.06,RU,1609359097
Amapá,1.0,-52.0,90.05,46,76,4.94,BR,1609359097
Cherskiy,68.75,161.3,-35.3,83,100,3.53,RU,1609359098
Albany,42.6,-73.97,35.01,43,97,1.01,US,1609359077
Kapaa,22.08,-159.32,73.0,88,75,13.11,US,1609359098
Changde,29.05,111.68,31.62,89,0,3.0,CN,1609359098
Lebu,-37.62,-73.65,59.27,63,0,22.1,CL,1609359098
Guerrero Negro,27.98,-114.06,65.3,31,0,20.27,MX,1609359061
Samarai,-10.62,150.67,83.07,75,100,5.23,PG,1609359098
Bolshevik,54.01,27.57,33.8,100,90,8.95,BY,1609359098
Te Anau,-45.42,167.72,55.56,83,75,0.72,NZ,1609359098
Viedma,-40.81,-63.0,68.0,38,0,8.99,AR,1609359025
Saint George,37.1,-113.58,45.0,27,1,5.82,US,1609359058
Busselton,-33.65,115.33,68.41,70,0,11.45,AU,1609359099
Airai,-8.93,125.41,61.68,100,100,0.09,TL,1609359099
Traralgon,-38.18,146.53,60.01,89,100,1.1,AU,1609359099
Portland,45.52,-122.68,45.0,90,100,5.01,US,1609358715
Atuona,-9.8,-139.03,78.69,73,2,19.69,PF,1609359099
Santa Vitória do Palmar,-33.52,-53.37,75.11,81,88,7.7,BR,1609359099
Palu,-0.89,119.87,75.61,75,100,2.13,ID,1609359099
Troitskoye,52.98,84.68,6.33,94,100,8.77,RU,1609359099
Cabo San Lucas,22.89,-109.91,71.01,39,5,14.99,MX,1609359013
Mossamedes,-15.2,12.15,70.97,74,81,6.11,AO,1609359099
Bluff,-46.6,168.33,54.54,87,99,2.42,NZ,1609359100
San Andrés,12.58,-81.7,86.0,74,20,9.17,CO,1609359100
Port Alfred,-33.59,26.89,66.99,90,28,5.06,ZA,1609359100
Camacha,33.08,-16.33,59.0,77,40,14.99,PT,1609358984
Rikitea,-23.12,-134.97,77.85,76,0,10.74,PF,1609359100
Palmer,42.16,-72.33,36.0,43,90,11.41,US,1609359100
Jamestown,42.1,-79.24,43.0,56,90,12.75,US,1609359100
Sambava,-14.27,50.17,75.6,85,0,10.47,MG,1609359100
Qaanaaq,77.48,-69.36,6.98,73,52,12.08,GL,1609359100
Barrow,71.29,-156.79,-9.4,69,75,17.22,US,1609359100
Mataura,-46.19,168.86,58.44,79,97,1.43,NZ,1609359101
Beringovskiy,63.05,179.32,4.93,93,100,17.11,RU,1609359026
Fenoarivo Atsinanana,-17.37,49.42,76.14,85,52,8.61,MG,1609359101
Nkayi,-4.18,13.29,74.82,91,100,2.13,CG,1609359101
Matadi,-5.82,13.45,77.95,88,100,4.45,CD,1609359101
Oussouye,12.48,-16.55,82.4,83,0,2.24,SN,1609359101
Saint Paul Harbor,57.79,-152.41,35.6,80,90,8.05,US,1609359101
Saint-Pierre,-21.34,55.48,77.0,83,20,27.51,RE,1609359101
Vaini,-21.2,-175.2,78.8,78,75,8.05,TO,1609359101
Lethem,3.38,-59.8,85.93,59,93,3.53,GY,1609359101
Egvekinot,66.32,-179.17,-1.82,93,100,16.02,RU,1609359102
Eyl,7.98,49.82,73.94,69,10,19.51,SO,1609359102
Hilo,19.73,-155.09,75.99,60,1,3.36,US,1609358415
Broken Hill,-31.95,141.43,66.2,45,75,13.87,AU,1609359102
Norman Wells,65.28,-126.83,-4.0,76,40,12.75,CA,1609359102
Jacareacanga,-6.22,-57.75,86.0,66,40,2.24,BR,1609359102
Faya,18.39,42.45,59.0,67,0,6.93,SA,1609359102
Jatai,-17.88,-51.71,82.56,60,74,8.55,BR,1609359063
Blyznyuky,48.86,36.56,34.57,88,100,11.61,UA,1609359102
Bathsheba,13.22,-59.52,80.6,78,75,8.05,BB,1609359103
Chokurdakh,70.63,147.92,-24.68,88,100,5.08,RU,1609359103
Bredasdorp,-34.53,20.04,62.6,72,0,6.93,ZA,1609359103
Isangel,-19.55,169.27,79.72,81,100,12.84,VU,1609359103
Namatanai,-3.67,152.43,79.29,78,100,2.95,PG,1609359103
Severo-Kuril'sk,50.68,156.12,21.43,86,27,4.07,RU,1609359103
Butaritari,3.07,172.79,81.5,76,69,23.29,KI,1609359103
Djambala,-2.54,14.75,69.87,92,100,3.44,CG,1609359103
Dwārka,22.24,68.97,66.76,45,0,18.14,IN,1609358908
Nanortalik,60.14,-45.24,30.96,93,100,17.72,GL,1609359103
Cape Town,-33.93,18.42,69.01,60,0,10.29,ZA,1609359023
